date,scan_time,ticker,verdict,priority,score,entry_price,stop,target1,target2,gap_pct,rel_vol,catalyst,float_m,short_float,above_vwap,spread_pct,outcome_time,outcome_price,outcome_pct,hit_target1,hit_target2,hit_stop,result,would_profit
2026-03-02,05:30,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,06:00,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,05:30,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,06:00,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,05:30,NFLX,WATCH,A,35,89.94,89.27,90.84,91.74,6.29,1.23,news,4192.9,2.0,False,13.843,06:00,96.15,6.9,True,True,False,TARGET2,1.34
2026-03-02,05:30,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,06:00,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,05:30,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,06:00,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,05:30,NVD,WATCH,B,30,7.5,7.44,7.58,7.65,7.99,0.64,news,150.0,0,True,0.8,06:00,7.5,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,05:30,TZA,WATCH,B,29,6.28,6.23,6.34,6.41,6.17,0.6,news,150.0,0,True,0.478,06:00,6.26,-0.32,False,False,False,NEGATIVE,-0.02
2026-03-02,05:30,SLV,WATCH,B,17,84.95,84.31,85.8,86.65,5.58,0.23,news,341.4,0,True,,06:00,84.95,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,06:34,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,07:04,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,06:34,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,07:04,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,06:34,NFLX,WATCH,A,35,89.94,89.27,90.84,91.74,6.29,1.23,news,4192.9,2.0,False,13.843,07:04,96.15,6.9,True,True,False,TARGET2,1.34
2026-03-02,06:34,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,07:04,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,06:34,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,07:04,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,06:34,NVD,WATCH,B,30,7.5,7.44,7.58,7.65,7.99,0.64,news,150.0,0,True,0.8,07:04,7.5,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,06:34,TZA,WATCH,B,29,6.28,6.23,6.34,6.41,6.17,0.6,news,150.0,0,True,0.478,07:04,6.26,-0.32,False,False,False,NEGATIVE,-0.02
2026-03-02,06:34,SLV,WATCH,B,17,84.95,84.31,85.8,86.65,5.58,0.23,news,341.4,0,True,,07:04,84.95,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,07:48,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:19,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,07:48,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:19,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,07:48,NFLX,WATCH,A,35,89.94,89.27,90.84,91.74,6.29,1.23,news,4192.9,2.0,False,13.843,08:19,94.04,4.56,True,True,False,TARGET2,1.34
2026-03-02,07:48,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:19,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,07:48,NVD,WATCH,B,30,7.5,7.44,7.58,7.65,7.99,0.64,news,150.0,0,True,0.8,08:19,7.74,3.2,True,True,False,TARGET2,0.12
2026-03-02,07:48,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:19,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,07:48,TZA,WATCH,B,29,6.28,6.23,6.34,6.41,6.17,0.6,news,150.0,0,True,0.478,08:19,6.46,2.87,True,True,False,TARGET2,0.1
2026-03-02,07:48,SLV,WATCH,B,17,84.95,84.31,85.8,86.65,5.58,0.23,news,341.4,0,True,,08:19,85.62,0.79,False,False,False,POSITIVE,0.67
2026-03-02,08:00,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:30,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:00,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,08:30,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:00,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:30,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:00,NFLX,WATCH,A,35,89.94,89.27,90.84,91.74,6.29,1.23,news,4192.9,2.0,False,13.843,08:30,95.34,6.0,True,True,False,TARGET2,1.34
2026-03-02,08:00,NVD,WATCH,B,33,7.8,7.74,7.88,7.96,12.31,0.64,news,150.0,0,True,0.256,08:30,7.74,-0.77,False,False,True,STOPPED,-0.06
2026-03-02,08:00,TZA,WATCH,B,31,6.47,6.42,6.53,6.6,9.38,0.6,news,150.0,0,True,0.155,08:30,6.46,-0.15,False,False,False,NEGATIVE,-0.01
2026-03-02,08:00,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:30,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:00,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:30,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:00,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,08:30,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:00,TSDD,WATCH,B,30,9.64,9.57,9.74,9.83,8.01,0.87,news,150.0,0,True,0.311,08:30,9.6,-0.41,False,False,False,NEGATIVE,-0.04
2026-03-02,08:00,UVIX,WATCH,B,30,6.94,6.89,7.01,7.08,19.24,0.3,news,150.0,0,True,0.288,08:30,6.83,-1.59,False,False,True,STOPPED,-0.05
2026-03-02,08:00,SLV,WATCH,B,17,84.95,84.31,85.8,86.65,5.58,0.23,news,341.4,0,True,,08:30,85.26,0.36,False,False,False,POSITIVE,0.31
2026-03-02,08:05,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:35,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:05,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,08:35,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:05,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:35,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:05,NFLX,WATCH,A,34,88.86,88.19,89.75,90.64,5.01,1.23,news,4192.9,2.0,False,11.591,08:35,95.3,7.25,True,True,False,TARGET2,1.34
2026-03-02,08:05,NVD,WATCH,B,33,7.77,7.71,7.85,7.93,11.88,0.64,news,150.0,0,True,0.257,08:35,7.74,-0.39,False,False,False,NEGATIVE,-0.03
2026-03-02,08:05,TSDD,WATCH,B,31,9.68,9.61,9.78,9.87,8.46,0.87,news,150.0,0,True,0.31,08:35,9.6,-0.83,False,False,True,STOPPED,-0.07
2026-03-02,08:05,PENN,WATCH,B,31,15.48,15.36,15.63,15.79,5.45,0.79,news,130.5,16.0,True,10.271,08:35,15.66,1.16,True,False,False,TARGET1,0.12
2026-03-02,08:05,TZA,WATCH,B,31,6.48,6.43,6.54,6.61,9.55,0.6,news,150.0,0,True,0.309,08:35,6.46,-0.31,False,False,False,NEGATIVE,-0.02
2026-03-02,08:05,UVIX,WATCH,B,30,6.92,6.87,6.99,7.06,18.9,0.3,news,150.0,0,True,0.145,08:35,6.86,-0.87,False,False,True,STOPPED,-0.05
2026-03-02,08:05,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,08:35,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:05,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,08:35,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:05,SLV,WATCH,B,18,85.91,85.27,86.77,87.63,6.77,0.23,news,341.4,0,True,0.745,08:35,85.36,-0.64,False,False,False,NEGATIVE,-0.55
2026-03-02,08:10,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,08:40,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:10,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,08:40,15.695,0.03,False,False,False,POSITIVE,0.01
2026-03-02,08:10,PSKY,GO,A,42,13.53,13.43,13.67,13.8,21.24,1.11,news,912.9,4.8,True,10.052,08:40,13.535,0.04,False,False,False,POSITIVE,0.01
2026-03-02,08:10,NFLX,WATCH,A,34,88.8,88.13,89.69,90.58,4.94,1.23,news,4192.9,2.0,False,11.464,08:40,95.55,7.6,True,True,False,TARGET2,1.34
